 ,time,force,units, ,x ,y ,z, 
b',22990,6.152,lbs,\r\n'b',3453,3249,1185,\r\n'
b',23078,6.094,lbs,\r\n'b',3460,3259,1190,\r\n'
b',23166,6.114,lbs,\r\n'b',3437,3280,1147,\r\n'
b',23254,6.097,lbs,\r\n'b',3441,3268,1191,\r\n'
b',23342,6.087,lbs,\r\n'b',3462,3258,1194,\r\n'
b',23430,6.07,lbs,\r\n'b',3458,3280,1188,\r\n'
b',23518,5.97,lbs,\r\n'b',3480,3258,1195,\r\n'
b',23606,5.949,lbs,\r\n'b',3455,3256,1132,\r\n'
b',23694,5.999,lbs,\r\n'b',3473,3269,1192,\r\n'
b',23782,6.016,lbs,\r\n'b',3454,3277,1216,\r\n'
b',23870,6.033,lbs,\r\n'b',3491,3260,1187,\r\n'
b',23958,6.087,lbs,\r\n'b',3506,3274,1195,\r\n'
b',24046,6.251,lbs,\r\n'b',3477,3265,1181,\r\n'
b',24134,6.453,lbs,\r\n'b',3473,3248,1162,\r\n'
b',24222,6.607,lbs,\r\n'b',3480,3257,1137,\r\n'
b',24310,6.708,lbs,\r\n'b',3449,3243,1149,\r\n'
b',24398,6.805,lbs,\r\n'b',3500,3250,1192,\r\n'
b',24486,6.926,lbs,\r\n'b',3445,3248,1097,\r\n'
b',24574,7.065,lbs,\r\n'b',3443,3224,1182,\r\n'
b',24662,7.163,lbs,\r\n'b'ERROR positioning on ID 0x614E, error code: 0xA\r\n',,,
b',24750,7.247,lbs,\r\n'b',3485,3247,1166,\r\n'
b',24838,7.256,lbs,\r\n'b',3461,3260,1145,\r\n'
b',24926,7.304,lbs,\r\n'b',3468,3235,1146,\r\n'
b',25014,7.384,lbs,\r\n'b',3444,3227,1127,\r\n'
b',25102,7.472,lbs,\r\n'b',3480,3226,1110,\r\n'
b',25190,7.507,lbs,\r\n'b',3462,3252,1099,\r\n'
b',25278,7.563,lbs,\r\n'b',3480,3216,1138,\r\n'
b',25366,7.51,lbs,\r\n'b',3479,3203,1147,\r\n'
b',25454,7.461,lbs,\r\n'b',3454,3203,1113,\r\n'
b',25542,7.384,lbs,\r\n'b',3466,3236,1138,\r\n'
b',25630,7.336,lbs,\r\n'b',3457,3213,1185,\r\n'
b',25718,7.255,lbs,\r\n'b',3468,3247,1147,\r\n'
b',25806,7.059,lbs,\r\n'b',3478,3248,1172,\r\n'
b',25894,7.093,lbs,\r\n'b',3477,3255,1155,\r\n'
b',25982,7.195,lbs,\r\n'b',3465,3240,1179,\r\n'
b',26070,7.243,lbs,\r\n'b',3467,3244,1172,\r\n'
b',26158,7.204,lbs,\r\n'b',3456,3243,1094,\r\n'
b',26246,7.272,lbs,\r\n'b',3744,3295,1427,\r\n'
b',26334,7.456,lbs,\r\n'b',3446,3207,1108,\r\n'
b',26422,7.621,lbs,\r\n'b',3477,3232,1151,\r\n'
b',26510,7.657,lbs,\r\n'b',3462,3195,1131,\r\n'
b',26598,7.68,lbs,\r\n'b'ERROR positioning on ID 0x614E, error code: 0xA\r\n',,,
b',26686,7.72,lbs,\r\n'b',3460,3250,1149,\r\n'
b',26774,7.558,lbs,\r\n'b',3495,3214,1192,\r\n'
b',26862,7.423,lbs,\r\n'b',3470,3228,1177,\r\n'
b',26950,7.252,lbs,\r\n'b',3468,3239,1151,\r\n'
b',27038,7.275,lbs,\r\n'b',3508,3237,1213,\r\n'
b',27126,7.164,lbs,\r\n'b',3471,3198,1134,\r\n'
b',27214,6.969,lbs,\r\n'b',3447,3219,1108,\r\n'
b',27302,6.922,lbs,\r\n'b',3488,3234,1190,\r\n'
b',27390,6.692,lbs,\r\n'b',3467,3172,1096,\r\n'
b',27478,6.479,lbs,\r\n'b',3485,3200,1118,\r\n'
