Index,Time,Difference,Hz,AveHz,0x6104 Angular-Vel-X,0x6104 Angular-Vel-Y,0x6104 Angular-Vel-Z,0x6104 Range,0x6104 Smoothed Range,0x6104 Velocity,
954,48.46841549873352,0.045995235443115234,21.741382348977286,19.682921139126737,0.0625,-6.0625,-0.0625,90,90.0,-717.4656175162504,
955,48.51641082763672,0.04799532890319824,20.835360916411254,19.684061201328543,-0.0625,-6.5,-0.0625,90,90.0,0.0,
956,48.55940628051758,0.042995452880859375,23.258273445124654,19.68722587910954,0.0625,-6.8125,-0.1875,104,104.0,325.6158282317452,
957,48.602402210235596,0.04299592971801758,23.258015504219856,19.690384764530368,0.1875,-7.125,-0.125,48,48.0,-1302.448868236312,
958,48.650397539138794,0.04799532890319824,20.835360916411254,19.6915143237894,0.3125,-7.4375,-0.375,57,57.0,187.51824824770128,
959,48.699392557144165,0.048995018005371094,20.410238442822383,19.692237410860997,0.25,-7.6875,-0.125,95,95.0,775.5890608272506,
960,48.75038743019104,0.050994873046875,19.6098144823459,19.692151193150796,0.1875,-7.9375,-0.375,76,76.0,-372.5864751645721,
961,48.79838275909424,0.04799532890319824,20.835360916411254,19.693275589566635,0.4375,-8.125,-0.375,67,67.0,-187.51824824770128,
962,48.850377559661865,0.05199480056762695,19.232692290056033,19.692785359234772,0.375,-7.625,-0.3125,100,100.0,634.6788455718491,
963,48.89737272262573,0.04699516296386719,21.278785665002637,19.69430966082155,0.4375,-7.4375,-0.375,128,128.0,595.8059986200739,
964,48.93936848640442,0.04199576377868652,23.811925537773288,19.69784306202896,0.75,-7.0,-0.625,114,114.0,-333.366957528826,
965,48.98836350440979,0.048995018005371094,20.410238442822383,19.698555554180402,0.6875,-6.5625,-0.75,128,128.0,285.7433381995134,
966,49.044358015060425,0.055994510650634766,17.858893459026305,19.696455190694167,0.6875,-6.6875,-0.75,137,137.0,160.73004113123676,
967,49.093353033065796,0.048995018005371094,20.410238442822383,19.697167544223298,0.375,-6.5,-0.75,184,184.0,959.281206812652,
968,49.14334797859192,0.04999494552612305,20.002021993953093,19.69747768144908,0.75,-6.125,-0.75,193,193.0,180.01819794557784,
969,49.194342851638794,0.050994873046875,19.6098144823459,19.697386809746156,0.875,-5.875,-1.0,250,250.0,1117.7594254937164,
970,49.244338035583496,0.04999518394470215,20.001926607692123,19.697695992970544,0.625,-5.8125,-0.9375,240,240.0,-200.01926607692124,
971,49.29133343696594,0.04699540138244629,21.278677712784038,19.699203334430397,0.875,-5.8125,-1.0625,278,278.0,808.5897530857934,
972,49.34032845497131,0.048995018005371094,20.410238442822383,19.699909393328443,0.75,-5.6875,-0.875,297,297.0,387.7945304136253,
973,49.38732361793518,0.04699516296386719,21.278785665002637,19.70141179399022,0.75,-5.375,-1.1875,325,325.0,595.8059986200739,
974,49.44031858444214,0.05299496650695801,18.86971661485444,19.700520301794697,0.75,-5.1875,-1.0625,372,372.0,886.8766808981586,
975,49.48831367492676,0.04799509048461914,20.835464417354675,19.701621000959335,0.75,-4.875,-0.875,381,381.0,187.51917975619207,
976,49.53630876541138,0.04799509048461914,20.835464417354675,19.70271956721753,0.9375,-4.9375,-1.0,400,400.0,395.8738239297388,
977,49.58530378341675,0.048995018005371094,20.410238442822383,19.703418663469936,0.625,-4.625,-0.875,409,409.0,183.69214598540145,
978,49.6362988948822,0.0509951114654541,19.609722800144,19.703322402646698,0.5625,-4.1875,-0.6875,414,414.0,98.04861400072,
979,49.6822943687439,0.045995473861694336,21.741269652030127,19.705209118037594,0.5625,-3.875,-0.625,418,418.0,86.9650786081205,
980,49.72628974914551,0.04399538040161133,22.72965913401615,19.70788500295943,0.5,-4.0,-0.5625,442,442.0,545.5118192163876,
981,49.77728462219238,0.050994873046875,19.6098144823459,19.707784533562872,0.625,-3.8125,-0.75,428,428.0,-274.5374027528426,
982,49.825279712677,0.04799509048461914,20.835464417354675,19.70887079134953,0.3125,-3.4375,-0.4375,437,437.0,187.51917975619207,
983,49.876274824142456,0.0509951114654541,19.609722800144,19.708769419246643,0.3125,-3.25,-0.375,433,433.0,-78.438891200576,
984,49.92526984214783,0.048995018005371094,20.410238442822383,19.709457817878217,0.3125,-3.25,-0.4375,447,447.0,285.7433381995134,
985,49.973265171051025,0.04799532890319824,20.835360916411254,19.710539157857546,0.0625,-3.0625,-0.1875,433,433.0,-291.6950528297575,
986,50.02525973320007,0.05199456214904785,19.2327804806471,19.710042591655455,0.3125,-3.125,-0.3125,428,428.0,-96.1639024032355,
987,50.07625484466553,0.0509951114654541,19.609722800144,19.709940431081222,0.25,-3.3125,-0.0625,442,442.0,274.536119202016,
988,50.12125039100647,0.04499554634094238,22.224421777718902,19.71219776626487,-0.1875,-3.5,-0.0625,409,409.0,-733.4059186647238,
989,50.17124533653259,0.04999494552612305,20.002021993953093,19.71248657206146,0.0,-3.8125,-0.0625,409,409.0,0.0,
990,50.220240354537964,0.048995018005371094,20.410238442822383,19.71316730089171,-0.25,-3.3125,0.1875,390,390.0,-387.7945304136253,
991,50.26623558998108,0.045995235443115234,21.741382348977286,19.7150231834254,0.0625,-3.375,0.1875,386,386.0,-86.96552939590914,
